timestamp,temperatura,umidade_solo,ph_solo,nitrogenio,fosforo,potassio,irrigacao_ativa,cultura,volume_irrigacao_recomendado,dosagem_n_recomendada,dosagem_p_recomendada,dosagem_k_recomendada,rendimento_estimado
2025-11-25 19:57:17.610438,22.6,60.1,6.53,0,1,0,0,milho,2.0,12,0,10,3919.0
2025-11-25 19:57:22.610438,22.2,60.1,6.34,0,0,1,0,milho,2.0,12,8,0,3574.0
2025-11-25 19:57:27.610438,22.5,60.5,6.46,0,1,0,0,milho,1.9,12,0,10,2792.0
2025-11-25 19:57:32.610438,23.5,60.8,6.49,0,0,1,0,milho,1.9,12,8,0,4037.0
2025-11-25 19:57:37.610438,21.7,57.4,6.57,0,0,1,0,milho,2.3,12,8,0,3626.0
2025-11-25 19:57:42.610438,22.2,54.9,6.53,0,0,1,0,milho,2.5,12,8,0,4634.0
2025-11-25 19:57:47.610438,23.3,57.7,6.58,0,0,1,0,milho,2.2,12,8,0,3578.0
2025-11-25 19:57:52.610438,23.1,52.0,6.6,0,1,1,0,milho,2.8,12,0,0,4278.0
2025-11-25 19:57:57.610438,22.4,53.3,6.77,0,1,1,0,milho,2.7,12,0,0,4701.0
2025-11-25 19:58:02.610438,22.7,57.5,6.74,0,0,1,0,milho,2.2,12,8,0,4496.0
2025-11-25 19:58:07.610438,23.1,54.1,6.51,0,1,1,0,milho,2.6,12,0,0,3729.0
2025-11-25 19:58:12.610438,23.4,53.1,6.72,0,0,1,0,milho,2.7,12,8,0,4337.0
2025-11-25 19:58:17.610438,22.3,55.7,6.64,0,1,0,0,milho,2.4,12,0,10,3446.0
2025-11-25 19:58:22.610438,23.0,55.9,6.34,0,1,1,0,milho,2.4,12,0,0,4468.0
2025-11-25 19:58:27.610438,22.2,50.2,6.49,0,1,1,0,milho,3.0,12,0,0,4723.0
2025-11-25 19:58:32.610438,22.4,53.5,6.66,0,1,1,0,milho,2.6,12,0,0,4798.0
2025-11-25 19:58:37.610438,22.5,53.3,6.53,0,1,1,0,milho,2.7,12,0,0,4736.0
2025-11-25 19:58:42.610438,22.8,48.7,6.41,0,1,1,0,milho,3.1,12,0,0,4221.0
2025-11-25 19:58:47.610438,22.8,53.7,6.55,0,1,1,0,milho,2.6,12,0,0,4065.0
2025-11-25 19:58:52.610438,21.6,49.4,6.57,0,1,1,0,milho,3.1,12,0,0,4703.0
2025-11-25 19:58:57.610438,22.6,51.5,6.63,0,1,1,0,milho,2.8,12,0,0,4049.0
2025-11-25 19:59:02.610438,22.9,48.1,6.4,0,0,1,0,milho,3.2,12,8,0,3115.0
2025-11-25 19:59:07.610438,22.5,46.9,6.42,1,1,1,0,milho,3.3,0,0,0,3862.0
2025-11-25 19:59:12.610438,22.1,47.8,6.46,0,0,1,0,milho,3.2,12,8,0,4322.0
2025-11-25 19:59:17.610438,23.2,49.6,6.46,1,1,0,0,milho,3.0,0,0,10,2867.0
2025-11-25 19:59:22.610438,22.6,49.9,6.42,1,1,0,0,milho,3.0,0,0,10,3439.0
2025-11-25 19:59:27.610438,22.4,45.3,6.52,0,1,0,0,milho,3.5,12,0,10,3691.0
2025-11-25 19:59:32.610438,22.2,43.6,6.19,0,0,1,0,milho,3.6,12,8,0,3211.0
2025-11-25 19:59:37.610438,23.1,45.2,6.41,0,1,1,0,milho,3.5,12,0,0,3546.0
2025-11-25 19:59:42.610438,21.9,47.9,6.34,0,1,1,0,milho,3.2,12,0,0,3472.0
2025-11-25 19:59:47.610438,22.8,46.0,6.3,0,1,0,0,milho,3.4,12,0,10,2208.0
2025-11-25 19:59:52.610438,22.8,46.1,6.32,0,1,0,0,milho,3.4,12,0,10,3471.0
2025-11-25 19:59:57.610438,22.3,43.5,6.1,0,0,1,0,milho,3.6,12,8,0,3491.0
2025-11-25 20:00:02.610438,22.3,42.8,6.31,0,1,1,0,milho,3.7,12,0,0,3855.0
2025-11-25 20:00:07.610438,22.1,47.4,6.37,1,1,1,0,milho,3.3,0,0,0,5037.0
2025-11-25 20:00:12.610438,22.6,43.8,5.95,1,1,1,0,milho,3.6,0,0,0,4168.0
2025-11-25 20:00:17.610438,23.2,42.9,5.97,1,1,1,0,milho,3.7,0,0,0,4640.0
2025-11-25 20:00:22.610438,22.3,41.8,6.06,0,0,1,0,milho,3.8,12,8,0,3897.0
2025-11-25 20:00:27.610438,22.3,44.0,5.96,0,0,0,0,milho,3.6,12,8,10,1796.0
2025-11-25 20:00:32.610438,22.7,37.2,6.0,0,0,1,1,milho,7.6,12,8,0,2718.0
2025-11-25 20:00:37.610438,22.1,42.2,5.99,0,1,0,1,milho,3.8,12,0,10,1780.0
2025-11-25 20:00:42.610438,22.6,46.3,5.99,1,1,1,1,milho,3.4,0,0,0,4475.0
2025-11-25 20:00:47.610438,23.0,45.8,6.08,1,0,0,1,milho,3.4,0,8,10,3385.0
2025-11-25 20:00:52.610438,23.1,48.5,5.87,0,1,0,1,milho,3.1,12,0,10,2372.0
2025-11-25 20:00:57.610438,22.5,52.1,5.69,0,0,0,1,milho,2.8,12,8,10,2653.0
2025-11-25 20:01:02.610438,23.0,53.6,5.87,0,1,1,1,milho,2.6,12,0,0,4611.0
2025-11-25 20:01:07.610438,21.7,51.5,5.95,0,1,0,1,milho,2.8,12,0,10,4366.0
2025-11-25 20:01:12.610438,22.6,55.4,5.88,0,1,0,1,milho,2.5,12,0,10,3027.0
2025-11-25 20:01:17.610438,21.9,54.8,5.72,0,0,1,1,milho,2.5,12,8,0,3871.0
2025-11-25 20:01:22.610438,23.1,60.5,5.83,0,1,1,1,milho,1.9,12,0,0,3708.0
2025-11-25 20:01:27.610438,21.6,60.8,5.92,0,1,1,1,milho,1.9,12,0,0,4091.0
2025-11-25 20:01:32.610438,21.6,67.0,5.62,0,1,1,1,milho,1.3,12,0,0,4416.0
2025-11-25 20:01:37.610438,22.3,68.9,5.86,0,0,0,1,milho,1.1,12,8,10,1824.0
2025-11-25 20:01:42.610438,22.4,67.4,5.74,0,1,1,1,milho,1.3,12,0,0,3233.0
2025-11-25 20:01:47.610438,22.4,70.8,5.86,0,1,0,1,milho,0.0,12,0,10,2601.0
